config,book_group,line_bucket,tau,anchor,n_bets,roi_net_vig,sharpe,roi_2023,n_2023,roi_2024,n_2024,roi_2025,n_2025,roi_2026,n_2026
all|all|tau0.1|pinnacle,all,all,0.1,pinnacle,18039,0.00032,0.00033,-0.01372,4506,0.00442,6271,0.01106,5342,-0.01,1920
superbook|all|tau0.1|book,superbook,all,0.1,book,313,0.00031,0.00033,,0,0.00031,313,,0,,0
fanatics|low_le4p5|tau0.04|book,fanatics,low_le4p5,0.04,book,932,0.00017,0.00017,,0,,0,-0.02372,754,0.10134,178
draftkings|low_le4p5|tau0.06|book,draftkings,low_le4p5,0.06,book,2163,-0.00015,-0.00015,-0.04426,446,-0.01902,663,0.02134,775,0.05554,279
majors|all|tau0.08|book,majors,all,0.08,book,11340,-0.00021,-0.00022,-0.03223,2914,-0.00241,3998,0.03577,3206,-0.01106,1222
all|all|tau0.08|book,all,all,0.08,book,28690,-0.00038,-0.00039,-0.01612,7570,-0.00777,9660,0.02232,8337,1e-05,3123
soft|all|tau0.1|pinnacle,soft,all,0.1,pinnacle,15626,-0.00075,-0.00079,-0.01652,3932,0.00487,5495,0.00796,4591,-0.00629,1608
unibet_us|mid_5p5|tau0.08|pinnacle,unibet_us,mid_5p5,0.08,pinnacle,67,-0.00139,-0.00143,-0.07091,48,0.17424,19,,0,,0
betmgm|high_ge6p5|tau0.1|book,betmgm,high_ge6p5,0.1,book,574,-0.00154,-0.00167,-0.05894,153,0.06336,197,-0.04104,153,0.02721,71
majors|all|tau0.1|pinnacle,majors,all,0.1,pinnacle,7879,-0.00158,-0.00165,-0.00716,2058,0.00343,2878,0.00978,2207,-0.03958,736
williamhill_us|all|tau0.1|pinnacle,williamhill_us,all,0.1,pinnacle,1438,-0.00168,-0.00179,-0.01799,553,-0.00041,732,0.05116,153,,0
superbook|high_ge6p5|tau0.04|pinnacle,superbook,high_ge6p5,0.04,pinnacle,113,-0.0018,-0.00203,,0,-0.0018,113,,0,,0
bovada|mid_5p5|tau0.06|pinnacle,bovada,mid_5p5,0.06,pinnacle,795,-0.00185,-0.00191,0.00083,92,0.02265,320,0.06787,264,-0.22446,119
majors|low_le4p5|tau0.06|book,majors,low_le4p5,0.06,book,7537,-0.00194,-0.00201,-0.0341,1715,-0.01788,2579,0.02701,2408,0.02987,835
betmgm|mid_5p5|tau0.08|pinnacle,betmgm,mid_5p5,0.08,pinnacle,733,-0.00236,-0.00245,0.00076,185,-0.02392,258,0.0786,201,-0.12918,89
betrivers|high_ge6p5|tau0.06|book,betrivers,high_ge6p5,0.06,book,1086,-0.00258,-0.00293,-0.03834,289,0.05111,388,-0.05746,306,0.05854,103
betmgm|all|tau0.1|pinnacle,betmgm,all,0.1,pinnacle,2187,-0.00269,-0.00281,0.00431,513,-0.00182,735,0.00818,716,-0.05659,223
unibet_us|mid_5p5|tau0.08|book,unibet_us,mid_5p5,0.08,book,213,-0.00313,-0.00222,0.0937,128,-0.14894,85,,0,,0
betonlineag|low_le4p5|tau0.04|pinnacle,betonlineag,low_le4p5,0.04,pinnacle,2233,-0.00332,-0.00342,-0.0346,392,-0.01536,760,0.01257,858,0.03159,223
betmgm|low_le4p5|tau0.1|pinnacle,betmgm,low_le4p5,0.1,pinnacle,1137,-0.00335,-0.00345,0.06647,226,-0.04064,363,-0.00761,441,-0.00675,107
williamhill_us|all|tau0.1|book,williamhill_us,all,0.1,book,1489,-0.00339,-0.00362,-0.01317,578,-0.01229,751,0.07373,160,,0
betmgm|low_le4p5|tau0.06|book,betmgm,low_le4p5,0.06,book,2068,-0.00357,-0.00371,-0.02016,418,-0.02706,641,0.02199,748,0.00749,261
superbook|all|tau0.1|pinnacle,superbook,all,0.1,pinnacle,296,-0.00363,-0.00392,,0,-0.00363,296,,0,,0
betonlineag|low_le4p5|tau0.06|pinnacle,betonlineag,low_le4p5,0.06,pinnacle,1809,-0.00366,-0.00376,-0.02873,304,-0.02085,623,0.01118,705,0.04083,177
betmgm|all|tau0.08|book,betmgm,all,0.08,book,3040,-0.00368,-0.00386,-0.00355,703,-0.01079,982,0.01468,972,-0.03224,383
pointsbetus|mid_5p5|tau0.1|book,pointsbetus,mid_5p5,0.1,book,213,-0.00411,-0.0043,0.04739,139,-0.10084,74,,0,,0
pointsbetus|high_ge6p5|tau0.08|book,pointsbetus,high_ge6p5,0.08,book,241,-0.00438,-0.00483,-0.06061,178,0.15449,63,,0,,0
pinnacle|high_ge6p5|tau0.1|book,pinnacle,high_ge6p5,0.1,book,554,-0.0044,-0.00479,-0.05641,155,0.05765,191,-0.04346,144,0.02431,64
williamhill_us|high_ge6p5|tau0.1|pinnacle,williamhill_us,high_ge6p5,0.1,pinnacle,367,-0.00457,-0.00503,-0.0589,147,0.083,181,-0.2062,39,,0
